timestamp, count
1607937001, 4
1607937015, 5
1607937029, 6
1607937041, 7
1607937053, 12
1607937061, 15
1607937067, 16
1607937080, 19
1607937094, 24
1607937109, 27
1607937123, 28
1607937136, 29
1607937142, 32
1607937148, 36
1607943601, 34
1607943608, 31
1607943623, 26
1607943628, 22
1607943639, 20
1607943646, 18
1607943655, 13
1607943670, 12
1607943684, 7
1607943689, 6
1607943697, 2
1607943702, 1
1607943711, 0
1607951401, 1
1607951414, 6
1607951428, 10
1607951434, 11
1607951442, 15
1607951448, 18
1607951461, 22
1607951472, 26
1607951477, 30
1607958001, 26
1607958016, 21
1607958028, 20
1607958033, 16
1607958039, 12
1607958046, 7
1607958060, 2
1607958074, 0
1607958601, 4
1607958608, 9
1607958619, 13
1607958633, 14
1607958639, 15
1607958648, 20
1607958658, 23
1607958668, 28
1607958675, 32
1607958686, 35
1607965201, 30
1607965216, 25
1607965230, 24
1607965240, 23
1607965251, 21
1607965266, 19
1607965271, 15
1607965276, 13
1607965285, 11
1607965290, 8
1607965297, 4
1607965303, 1
1607965312, 0
1607965801, 3
1607965812, 7
1607965822, 10
1607965834, 15
1607965848, 19
1607965863, 24
1607965877, 29
1607965886, 31
1607965892, 36
1607972401, 34
1607972406, 30
1607972411, 28
1607972420, 26
1607972433, 25
1607972442, 23
1607972454, 20
1607972465, 16
1607972474, 15
1607972481, 10
1607972494, 8
1607972506, 4
1607972515, 2
1607972523, 0
1607972531, 0
1607972539, 0
1607972550, 0
1607972559, 0
1608030601, 1
1608030608, 2
1608030622, 7
1608030635, 12
1608030640, 16
1608030646, 17
1608030652, 20
1608030667, 25
1608030676, 26
1608030686, 29
1608030699, 32
1608030714, 35
1608030719, 38
1608037201, 35
1608037206, 31
1608037215, 30
1608037225, 26
1608037232, 21
1608037239, 17
1608037245, 14
1608037260, 11
1608037269, 6
1608037275, 3
1608037284, 1
1608037291, 0
1608037801, 2
1608037816, 4
1608037822, 8
1608037829, 10
1608037837, 14
1608037850, 19
1608037856, 24
1608037866, 28
1608037881, 29
1608037894, 31
1608037906, 33
1608037913, 34
1608037924, 37
1608044401, 32
1608044416, 28
1608044429, 27
1608044435, 26
1608044449, 21
1608044464, 20
1608044477, 17
1608044486, 12
1608044501, 10
1608044513, 5
1608044527, 0
1608052201, 2
1608052215, 5
1608052227, 7
1608052242, 8
1608052251, 11
